Date,open,high,low,close,volume,Network diameter,The average shortest path length of the network,The average clustering coefficient of the network,The average degree centrality of the network,Number of network nodes,number_of_nodes_for_largest_subgraph,The average degree of the network,bins,pagerank,ci_max,ci_global,retweeted,su,original
2015/3/16,0.541,2.2649,0.1238,2.26,399100,1,1,0,1,2682,2,1.754660701,"(1.4, 4.2]",0.5,6018,7938,2858,25525,22667
2015/3/17,0.5885,1.5893,0.3012,1.55,520900,0,0,0,1,2884,1,1.783633842,"(1.4, 4.2]",1,16464,55498,3593,28638,25045
2015/3/18,0.2185,2.1358,0.0287,2.13,545200,20,8.081610172,0.002956134,0.001979499,3156,1091,1.818757921,"(1.4, 4.2]",0.028314062,7344,33911,4378,30337,25959
2015/3/19,-0.0358,0.6537,-0.8514,0.14,537300,2,1.666666667,0,0.4,2997,6,1.728395062,"(0.0, 1.4]",0.512196116,2080,8281,4250,29484,25234
2015/3/20,0.1344,1.3976,-0.3599,0.98,516700,1,1,0,2,4216,2,1.890417457,"(0.0, 1.4]",0.649122638,46789,129429,5708,30643,24935
2015/3/23,0.6299,1.9609,0.5022,1.95,536100,18,6.98859802,0.00436016,0.001960765,3646,1092,1.821722436,"(1.4, 4.2]",0.033236548,30996,77612,4984,28498,23514
2015/3/24,0.1313,0.7632,-2.36,0.1,639600,20,7.502910944,0.001152235,0.000821023,5105,2535,1.849951028,"(0.0, 1.4]",0.194817265,55848,126314,6460,33825,27365
2015/3/25,-0.2833,0.0472,-1.5401,-0.83,521900,18,7.051680907,0.003174041,0.001117592,4686,1940,1.876653863,"(-1.4, 0.0]",0.025764436,50616,183488,6326,32092,25766
2015/3/26,-0.5132,1.2727,-1.2488,0.58,488600,2,1.333333333,0,0.666666667,4583,3,1.816277547,"(0.0, 1.4]",0.486485824,8672,43118,6197,30599,24402
2015/3/27,0.1097,0.7708,-0.6861,0.24,408900,4,2.422222222,0,0.244444444,3479,10,1.794193734,"(0.0, 1.4]",0.279064299,34200,101944,5188,28867,23679
2015/3/30,0.5287,2.8403,0.5287,2.59,564700,0,0,0,1,3798,1,1.814112691,"(1.4, 4.2]",1,32263,132216,5326,34812,29486
2015/3/31,0.9618,1.294,-1.3079,-1.02,561700,4,2.431578947,0,0.110526316,3739,20,1.837924579,"(-1.4, 0.0]",0.371643506,33174,117028,5284,33765,28481
2015/4/1,0.0118,1.8459,-0.1517,1.66,447500,2,1.714285714,0,0.285714286,3518,7,1.793064241,"(1.4, 4.2]",0.471041052,27084,94113,5301,31437,26136
2015/4/2,0.4565,0.6602,-0.9028,0.41,479300,2,1.714285714,0,0.285714286,3735,7,1.804551539,"(0.0, 1.4]",0.471041052,125904,247415,4912,32503,27591
2015/4/3,-0.5855,1.0095,-0.8775,1,473000,18,6.535276528,0.005746693,0.001153171,3808,1887,1.853466387,"(0.0, 1.4]",0.025141752,58125,287724,4953,29205,24252
2015/4/7,0.9185,2.5295,0.7195,2.52,570400,14,5.816815045,0.002446483,0.000831644,4404,2645,1.944141689,"(1.4, 4.2]",0.026539717,168020,708241,6062,30271,24209
2015/4/8,0.3825,0.9805,-1.4573,0.84,618100,2,1.935483871,0,0.064516129,5018,31,1.899163013,"(0.0, 1.4]",0.462068158,207940,662878,6230,30877,24647
2015/4/9,0.2833,0.5403,-2.3727,-0.93,585200,20,6.977561669,0.004672062,0.001108787,4776,1950,1.824539363,"(-1.4, 0.0]",0.046679529,94248,231066,5625,30204,24579
2015/4/10,-0.2537,2.0926,-0.7129,1.94,484300,19,7.539709915,0.002425854,0.001340108,3521,1605,1.806305027,"(1.4, 4.2]",0.036343248,16168,69258,4127,21895,17768
2015/4/13,0.9522,2.3241,0.5697,2.17,589800,17,6.336246505,0.002813118,0.000832933,5342,2586,1.857731187,"(1.4, 4.2]",0.02096267,119356,518741,6521,32111,25590
2015/4/14,0.0987,1.1314,-0.739,0.34,610700,1,1,0,1,8400,2,1.905,"(0.0, 1.4]",0.5,1538238,2443171,9386,32622,23236
2015/4/15,0.002,0.9655,-1.6094,-1.24,613000,2,1.5,0,1,5213,4,1.804718972,"(-1.4, 0.0]",0.225146355,39900,159268,5794,30265,24471
2015/4/16,-0.6916,2.7213,-1.2957,2.71,551200,20,6.743320096,0.001964909,0.001008397,4848,2120,1.78960396,"(1.4, 4.2]",0.051194535,149328,311592,5611,28020,22409
2015/4/17,1.4279,2.9179,1.051,2.2,701700,20,7.026582127,0.002594997,0.000841413,5881,2621,1.876211529,"(1.4, 4.2]",0.038415968,282934,589942,8279,31484,23205
2015/4/20,0.3279,1.6025,-2.2535,-1.64,857100,19,6.874365009,0.003895716,0.000619686,7039,3503,1.871004404,"(-4.2, -1.4]",0.020738231,104544,479124,7992,38060,30068
2015/4/21,-0.116,1.833,-0.676,1.82,634500,1,1,0,1,6109,2,1.865771812,"(1.4, 4.2]",0.5,145748,453638,6769,34461,27692
2015/4/22,0.2556,2.482,0.1008,2.44,680300,2,1.846153846,0,0.179487179,7028,13,1.896983495,"(1.4, 4.2]",0.465374836,274008,742829,9181,38275,29094
2015/4/23,0.3635,1.0439,-0.9014,0.36,667300,0,0,0,1,7744,1,1.946022727,"(0.0, 1.4]",1,319830,1085784,10223,39076,28853
2015/4/24,-1.3265,0.0423,-2.1835,-0.47,628600,18,6.208362114,0.003645557,0.000725782,6387,3022,1.891654924,"(-1.4, 0.0]",0.038067588,365850,851925,7584,35054,27470
2015/4/27,1.098,3.0965,1.098,3.04,671100,16,6.123044444,0.006006031,0.000715988,5583,3038,1.879276375,"(1.4, 4.2]",0.028061028,262152,747629,6605,37364,30759
2015/4/28,0.0053,0.9938,-2.0871,-1.13,767700,18,6.567398124,0.003886767,0.000896391,5491,2449,1.844108541,"(-1.4, 0.0]",0.026057367,175305,389742,6548,37159,30611
2015/4/29,-0.6723,0.5301,-1.7331,0.01,519800,2,1.6,0,0.4,6550,5,1.872977099,"(0.0, 1.4]",0.475676689,113600,352211,7380,35672,28292
2015/4/30,0.1428,0.6863,-0.7945,-0.78,526700,2,1.846153846,0,0.166666667,8569,13,1.902905823,"(-1.4, 0.0]",0.482761417,1580558,1806422,8898,35477,26579
2015/5/4,-0.007,1.0337,-1.2209,0.87,494200,15,3.973933126,0.000523598,0.000301848,8939,6737,1.912741917,"(0.0, 1.4]",0.310195996,4295592,4482220,9994,34742,24748
2015/5/5,-0.0137,0.1875,-4.4243,-4.06,572900,16,5.795846394,0.004427788,0.000633352,6887,3485,1.930884275,"(-4.2, -1.4]",0.033064416,408304,1491362,8476,41865,33389
2015/5/6,0.3009,1.8063,-2.59,-1.62,481700,19,6.289804088,0.001178725,0.000505754,7602,4218,1.872401999,"(-4.2, -1.4]",0.101856012,474122,1043565,8956,43676,34720
2015/5/7,-0.7417,-0.3665,-2.8671,-2.77,394600,2,1.818181818,0,0.2,8364,11,1.853897657,"(-4.2, -1.4]",0.487181651,290640,731800,9305,46565,37260
2015/5/8,0.9914,2.3016,-0.3203,2.28,397400,0,0,0,1,7518,1,1.847299814,"(1.4, 4.2]",1,250380,748236,8685,42116,33431
2015/5/11,0.6028,3.0662,-0.4303,3.04,488800,17,4.764006365,0.000692311,0.000449573,7630,4558,1.86474443,"(1.4, 4.2]",0.303606876,505176,607507,8679,34968,26289
2015/5/12,0.2027,1.5859,-0.3602,1.56,521900,15,2.217716769,0.000215477,3.53E-05,59495,56964,1.988335154,"(1.4, 4.2]",0.427233894,94227840,94572700,61518,89267,27749
2015/5/13,0.0263,0.3274,-1.3346,-0.58,510500,16,2.424841002,0.000140664,5.79E-05,37291,34738,1.980424231,"(-1.4, 0.0]",0.430186003,55488000,55958309,38506,65188,26682
