Date,open,high,low,close,volume,sub_density,diameter,average_shortest_path_length,average_clustering,average_pageRank_score,average_degree_centrality,group,number_of_nodes,number_of_nodes_for_largest_subgraph,number_of_edges_for_largest_subgraph,average_degree,average_degree_sub,bins,pr,pagerank,ci,ci_sum
2015/3/26,-0.5132,1.2727,-1.2488,0.58,488600,0.666666667,2,1.333333333,0,0.333333333,0.666666667,1,4583,3,2,1.816277547,1.333333333,"(0.0, 1.4]",0.486485824,0.486485824,8672,43118
2015/3/27,0.1097,0.7708,-0.6861,0.24,408900,0.244444444,4,2.422222222,0,0.1,0.244444444,1,3479,10,11,1.794193734,2.2,"(0.0, 1.4]",0.279064299,0.279064299,34200,101944
2015/3/30,0.5287,2.8403,0.5287,2.59,564700,0,0,0,0,1,1,1,3798,1,1,1.814112691,2,"(1.4, 4.2]",1,1,32263,132216
2015/3/31,0.9618,1.294,-1.3079,-1.02,561700,0.110526316,4,2.431578947,0,0.05,0.110526316,2,3739,20,21,1.837924579,2.1,"(-1.4, 0.0]",0.371643506,0.371643506,33174,117028
2015/4/1,0.0118,1.8459,-0.1517,1.66,447500,0.285714286,2,1.714285714,0,0.142857143,0.285714286,1,3518,7,6,1.793064241,1.714285714,"(1.4, 4.2]",0.471041052,0.471041052,27084,94113
2015/4/2,0.4565,0.6602,-0.9028,0.41,479300,0.285714286,2,1.714285714,0,0.142857143,0.285714286,1,3735,7,6,1.804551539,1.714285714,"(0.0, 1.4]",0.471041052,0.471041052,125904,247415
2015/4/3,-0.5855,1.0095,-0.8775,1,473000,0.001153171,18,6.535276528,0.005746693,0.000529942,0.001153171,1,3808,1887,2052,1.853466387,2.174880763,"(0.0, 1.4]",0.025141752,0.025141752,58125,287724
2015/4/7,0.9185,2.5295,0.7195,2.52,570400,0.000831644,14,5.816815045,0.002446483,0.000378072,0.000831644,1,4404,2645,2908,1.944141689,2.198865784,"(1.4, 4.2]",0.026539717,0.026539717,168020,708241
2015/4/8,0.3825,0.9805,-1.4573,0.84,618100,0.064516129,2,1.935483871,0,0.032258065,0.064516129,1,5018,31,30,1.899163013,1.935483871,"(0.0, 1.4]",0.462068158,0.462068158,207940,662878
2015/4/9,0.2833,0.5403,-2.3727,-0.93,585200,0.001108787,20,6.977561669,0.004672062,0.000512821,0.001108787,2,4776,1950,2107,1.824539363,2.161025641,"(-1.4, 0.0]",0.046679529,0.046679529,94248,231066
2015/4/10,-0.2537,2.0926,-0.7129,1.94,484300,0.001340108,19,7.539709915,0.002425854,0.000623053,0.001340108,1,3521,1605,1725,1.806305027,2.14953271,"(1.4, 4.2]",0.036343248,0.036343248,16168,69258
2015/4/13,0.9522,2.3241,0.5697,2.17,589800,0.000832933,17,6.336246505,0.002813118,0.000386698,0.000832933,1,5342,2586,2784,1.857731187,2.153132251,"(1.4, 4.2]",0.02096267,0.02096267,119356,518741
