Date,open,high,low,close,volume,Beijing_Tianjin_Hebei,Yangtze_River_Delta,Pearl_River_Delta,Middle_Reaches_of_Yangtze_River,Chengdu_Chongqing
2015/6/25,0.4608,0.6514,-4.405,-3.46,572800,5684,5810,3586,1932,1194
2015/6/26,-2.8236,-1.5655,-8.5748,-7.4,565200,15570,15399,7870,4424,3055
2015/6/29,2.311,2.4948,-7.5801,-3.34,673800,18259,17339,9621,5209,3625
2015/6/30,-1.1418,5.5992,-5.0616,5.53,709200,14875,12843,7315,3806,2369
2015/7/1,-1.4746,0.9312,-5.4675,-5.23,598800,12401,13582,7589,3819,2517
2015/7/2,0.1215,0.6583,-6.3756,-3.48,586000,18256,19175,10250,5600,3808
2015/7/3,-3.0427,0.367,-7.2381,-5.77,548200,19309,18344,9360,5048,3578
2015/7/6,7.8195,7.8195,-0.9189,2.41,831100,17697,17192,8643,5211,3248
2015/7/7,-3.2081,-0.6712,-5.0455,-1.29,698800,19190,17547,9179,5035,3225
2015/7/8,-6.9685,-3.4309,-8.1994,-5.9,680400,22386,23165,11495,6290,4699
2015/7/9,-2.131,6.8798,-3.8108,5.76,656900,17854,18200,9433,5273,3567
2015/7/10,-0.0505,6.7368,-0.8599,4.54,586400,12581,11205,6359,3351,2160
2015/7/13,1.0621,3.9299,-0.4942,2.39,643500,8382,7623,4131,2167,1429
2015/7/14,-0.3026,1.6383,-2.8921,-1.16,670600,7041,6652,3806,1885,1398
2015/7/15,-1.2618,-0.2603,-4.6691,-3.03,601300,7385,6403,3715,1738,1206
2015/7/16,-1.2402,1.8869,-3.0812,0.46,492300,6440,6518,3614,1820,1323
2015/7/17,0.2157,4.4806,-0.2362,3.51,481700,4925,4967,2810,1284,948
2015/7/20,-0.2257,1.6166,-0.7639,0.88,539100,5994,5039,3029,1521,980
2015/7/21,-1.3079,1.2452,-1.9866,0.64,504300,5546,4870,2964,1434,1174
2015/7/22,-0.5289,0.6139,-1.414,0.21,520700,5138,5010,2722,1561,1214
2015/7/23,-0.0938,2.6469,-0.174,2.43,563600,4867,4974,2606,1350,1053
2015/7/24,0.0202,1.4677,-1.9179,-1.29,627400,4639,4705,2603,1603,968
2015/7/27,-2.0963,-0.4851,-8.609,-8.48,556000,6048,7313,3873,2117,1572
2015/7/28,-4.0911,0.9923,-5.0516,-1.68,563300,6529,7706,3912,2121,1412
2015/7/29,0.7323,3.5236,-1.3906,3.44,434400,5638,6573,3265,1509,1245
2015/7/30,-0.4059,1.4569,-2.7239,-2.2,457900,4962,5920,2997,1638,1089
2015/7/31,-1.3519,0.6408,-2.3099,-1.13,351000,4712,5519,2860,1510,1115
2015/8/3,-1.3302,-0.4035,-3.1179,-1.11,364000,4684,4895,2697,1835,1341
2015/8/4,-0.029,3.7021,-0.5966,3.69,362900,6079,6461,3213,2378,1576
2015/8/5,-0.2901,0.687,-2.1337,-1.65,366400,7661,7901,4772,3757,1973
2015/8/6,-1.8695,0.433,-2.1608,-0.89,274100,7497,8227,4138,4569,1651
2015/8/7,0.8487,2.6,0.6762,2.26,340800,7768,8876,4245,3817,1805
2015/8/10,1.1171,5.3261,0.8453,4.92,497300,7168,9636,4319,3586,2276
2015/8/11,0.01,1.0671,-0.9479,-0.01,538900,6935,9172,4483,4165,2133
2015/8/12,-1.1884,0.2511,-1.4453,-1.06,442700,7139,8253,3957,3431,2019
2015/8/13,-0.4222,1.7875,-1.2392,1.76,430100,5500,6445,3440,3438,1747
2015/8/14,0.5525,1.1665,-0.3723,0.27,468000,5418,6648,2997,3233,1484
2015/8/17,-0.4411,0.7364,-1.4611,0.71,460400,5927,8658,3165,3470,1771
2015/8/18,0.1369,0.3172,-6.2668,-6.15,543800,8378,9749,4253,4663,2516
2015/8/19,-2.7043,1.6878,-5.0633,1.23,475400,7364,9461,3951,3535,1813
2015/8/20,-1.0422,-0.1609,-3.4396,-3.42,390100,6649,8435,3414,2657,1394
2015/8/21,-1.4827,-0.3126,-4.7417,-4.27,369900,6500,8700,3934,2566,1684
2015/8/24,-3.8277,-3.4033,-9.0048,-8.49,334700,10660,14168,6844,4387,2023
2015/8/25,-6.4108,-2.7063,-8.161,-7.63,352300,12943,16272,7691,4933,2388
2015/8/26,0.5338,4.2858,-3.8534,-1.27,466700,11609,14206,6749,4363,1998
2015/8/27,1.7334,5.4021,-0.7105,5.34,400300,10452,12780,5877,3675,1898
2015/8/28,1.3514,4.9374,0.6276,4.82,443100,8687,9963,5066,2964,1425
2015/8/31,-0.8907,-0.7576,-3.8111,-0.82,397400,7970,9879,5366,3058,1448
