Date,close,f,m,f_disgust,m_disgust,fol1,fol2,fol3,bins
2015/8/6,-0.89,10850,32244,1478,4169,16722,23320,3052,"(-1.4, 0.0]"
2015/8/7,2.26,11533,32497,1643,4610,16852,23851,3327,"(1.4, 4.2]"
2015/8/10,4.92,12391,32679,2110,4406,17843,23778,3449,"(4.2, 10.0]"
2015/8/11,-0.01,12360,32731,1869,4598,17699,24288,3104,"(-1.4, 0.0]"
2015/8/12,-1.06,12393,29637,1601,4091,15435,23620,2975,"(-1.4, 0.0]"
2015/8/13,1.76,9011,25752,1067,3521,12731,19459,2573,"(1.4, 4.2]"
2015/8/14,0.27,9403,24385,1382,3493,12264,18869,2655,"(0.0, 1.4]"
2015/8/17,0.71,10964,26638,1588,3088,13822,21069,2711,"(0.0, 1.4]"
2015/8/18,-6.15,13767,34530,1779,3828,17133,27735,3429,"(-10.0, -4.2]"
2015/8/19,1.23,12190,30431,1754,3839,14173,25022,3426,"(0.0, 1.4]"
2015/8/20,-3.42,9289,27567,1233,3780,12795,21212,2849,"(-4.2, -1.4]"
2015/8/21,-4.27,10461,28952,1259,3219,13704,22675,3034,"(-10.0, -4.2]"
2015/8/24,-8.49,19205,45243,1610,3413,22084,37458,4906,"(-10.0, -4.2]"
2015/8/25,-7.63,19531,53621,2181,4964,24850,42371,5931,"(-10.0, -4.2]"
2015/8/26,-1.27,17061,48686,1801,4323,24541,36259,4947,"(-1.4, 0.0]"
2015/8/27,5.34,16356,42900,1441,4092,24043,31077,4136,"(4.2, 10.0]"
2015/8/28,4.82,12394,35146,1426,3666,19101,24848,3591,"(4.2, 10.0]"
2015/8/31,-0.82,11941,35926,1362,4392,18295,25615,3957,"(-1.4, 0.0]"
2015/9/1,-1.23,13026,36740,1288,3607,19125,26991,3650,"(-1.4, 0.0]"
2015/9/2,-0.2,10025,30506,970,3190,14406,22792,3333,"(-1.4, 0.0]"
2015/9/7,-2.52,8765,27963,845,2893,12063,21320,3345,"(-4.2, -1.4]"
2015/9/8,2.92,9358,29081,1135,3372,13373,21497,3569,"(1.4, 4.2]"
2015/9/9,2.29,9511,27917,1020,3238,12930,20949,3549,"(1.4, 4.2]"
2015/9/10,-1.39,9848,27079,1069,3392,13185,20606,3136,"(-1.4, 0.0]"
2015/9/11,0.07,8426,25576,1184,3354,11251,19334,3417,"(0.0, 1.4]"
2015/9/14,-2.67,10345,30119,1124,2812,13932,22974,3558,"(-4.2, -1.4]"
2015/9/15,-3.52,11704,35973,1238,3715,17590,25938,4149,"(-4.2, -1.4]"
2015/9/16,4.89,10804,32104,1305,3702,14565,24289,4054,"(4.2, 10.0]"
2015/9/17,-2.1,10017,29568,1273,3804,14000,22034,3551,"(-4.2, -1.4]"
2015/9/18,0.38,8185,24749,940,3080,10906,18572,3456,"(0.0, 1.4]"
2015/9/21,1.89,9458,26327,1054,2945,11950,20399,3436,"(1.4, 4.2]"
2015/9/22,0.92,8301,24242,874,2989,10042,19007,3494,"(0.0, 1.4]"
2015/9/23,-2.19,8358,25686,821,3067,10624,19896,3524,"(-4.2, -1.4]"
2015/9/24,0.86,7160,23842,780,2864,10327,17776,2899,"(0.0, 1.4]"
2015/9/25,-1.6,6946,22715,690,2930,9755,16978,2928,"(-4.2, -1.4]"
2015/9/28,0.27,6990,21983,792,2802,9654,16611,2708,"(0.0, 1.4]"
2015/9/29,-2.02,8331,22774,787,2650,10163,18089,2853,"(-4.2, -1.4]"
2015/9/30,0.48,6091,18509,787,2687,8258,13925,2417,"(0.0, 1.4]"
2015/10/8,2.97,6738,20056,789,2780,8182,15729,2883,"(1.4, 4.2]"
2015/10/9,1.27,6699,19972,772,2679,8561,15245,2865,"(0.0, 1.4]"
2015/10/12,3.28,8841,23731,897,2861,11532,17421,3619,"(1.4, 4.2]"
2015/10/13,0.17,8375,21214,825,2501,10531,15999,3059,"(0.0, 1.4]"
2015/10/14,-0.93,8246,22367,691,2679,11224,16169,3220,"(-1.4, 0.0]"
2015/10/15,2.32,9087,23446,828,2940,13338,16033,3162,"(1.4, 4.2]"
2015/10/16,1.6,8405,24049,879,2917,13738,15378,3338,"(1.4, 4.2]"
2015/10/19,-0.14,8829,24577,833,2694,13546,16456,3404,"(-1.4, 0.0]"
2015/10/20,1.14,8676,23701,855,3061,12721,16368,3288,"(0.0, 1.4]"
2015/10/21,-3.06,10326,27755,1096,3030,14672,19246,4163,"(-4.2, -1.4]"
2015/10/22,1.45,10689,27142,1003,3165,15561,18449,3821,"(1.4, 4.2]"
2015/10/23,1.3,9228,23111,1143,2816,12683,16140,3516,"(0.0, 1.4]"
2015/10/26,0.5,8968,26033,907,3073,13940,17201,3860,"(0.0, 1.4]"
2015/10/27,0.14,9738,27234,1116,3575,14989,18109,3874,"(0.0, 1.4]"
